,state,year,season,beekeepers,total_loss,average_loss,starting_colonies,colonies_lost,ending_colonies,beekeepers_exclusive_to_state,colonies_exclusive_to_state,colonies_net_gain,beekeeper_colony_ratio,ansi,latitude,longitude,geometry
0,alabama,2022,annual,33,36.48881239,34.2600962,316,212,369,100.0,100.0,53,11.181818181818182,1,32.806671,-86.79113,POINT (-86.79113 32.806671)
1,arkansas,2022,annual,18,51.25448029,53.8678654,152,143,136,94.44444444,97.36842105,-16,7.555555555555555,5,34.969704,-92.373123,POINT (-92.373123 34.969704)
2,arkansas,2022,annual,17,49.41176471,52.8698967,148,126,129,100.0,100.0,-19,7.588235294117647,5,34.969704,-92.373123,POINT (-92.373123 34.969704)
3,california,2022,annual,89,33.2696669,42.81879115,166009,85526,171543,67.41573034,25.32031396,5534,1927.4494382022472,6,36.116203,-119.681564,POINT (-119.681564 36.116203)
4,california,2022,annual,29,36.75285443,35.81139297,123975,73971,127295,0.0,0.0,3320,4389.482758620689,6,36.116203,-119.681564,POINT (-119.681564 36.116203)
5,california,2022,annual,60,20.70677204,46.20570026,42034,11555,44248,100.0,100.0,2214,737.4666666666667,6,36.116203,-119.681564,POINT (-119.681564 36.116203)
6,colorado,2022,annual,93,48.97074756,40.24510862,444,452,471,96.77419355,85.36036036,27,5.064516129032258,8,39.059811,-105.311104,POINT (-105.311104 39.059811)
7,colorado,2022,annual,90,53.22777101,40.62043175,379,437,384,100.0,100.0,5,4.266666666666667,8,39.059811,-105.311104,POINT (-105.311104 39.059811)
8,connecticut,2022,annual,28,33.86243386,38.14756205,88,64,125,100.0,100.0,37,4.464285714285714,9,41.597782,-72.755371,POINT (-72.755371 41.597782)
9,delaware,2022,annual,12,54.48,52.28061899,724,681,569,75.0,4.972375691,-155,47.416666666666664,10,39.318523,-75.507141,POINT (-75.507141 39.318523)
10,district_of_columbia,2022,annual,20,56.57142857,47.98015873,87,99,76,90.0,83.90804598,-11,3.8,11,38.897438,-77.026817,POINT (-77.026817 38.897438)
11,district_of_columbia,2022,annual,18,58.94039735,46.52116402,73,89,62,100.0,100.0,-11,3.4444444444444446,11,38.897438,-77.026817,POINT (-77.026817 38.897438)
12,florida,2022,annual,30,32.28699552,34.81341836,503,360,755,90.0,27.03777336,252,25.166666666666668,12,27.766279,-81.686783,POINT (-81.686783 27.766279)
13,florida,2022,annual,27,38.46153846,31.33893942,136,95,152,100.0,100.0,16,5.62962962962963,12,27.766279,-81.686783,POINT (-81.686783 27.766279)
14,georgia,2022,annual,76,62.56515863,52.29966025,4750,9722,5817,96.05263158,8.568421053,1067,76.53947368421052,13,33.040619,-83.643074,POINT (-83.643074 33.040619)
15,georgia,2022,annual,73,47.92207792,51.4860078,407,369,401,100.0,100.0,-6,5.493150684931507,13,33.040619,-83.643074,POINT (-83.643074 33.040619)
16,idaho,2022,annual,27,32.93577163,55.8882511,65044,36921,75179,62.96296296,0.175265974,10135,2784.4074074074074,16,44.240459,-114.478828,POINT (-114.478828 44.240459)
17,idaho,2022,annual,17,67.04980843,68.52733067,114,175,86,100.0,100.0,-28,5.0588235294117645,16,44.240459,-114.478828,POINT (-114.478828 44.240459)
18,illinois,2022,annual,57,53.1107739,61.84869572,362,350,309,94.73684211,93.64640884,-53,5.421052631578948,17,40.349457,-88.986137,POINT (-88.986137 40.349457)
19,illinois,2022,annual,54,52.81803543,61.74637459,339,328,293,100.0,100.0,-46,5.425925925925926,17,40.349457,-88.986137,POINT (-88.986137 40.349457)
20,indiana,2022,annual,110,70.72527473,51.91823677,816,1609,666,98.18181818,96.69117647,-150,6.054545454545455,18,39.849426,-86.258278,POINT (-86.258278 39.849426)
21,indiana,2022,annual,108,70.74707471,51.72681704,789,1572,650,100.0,100.0,-139,6.018518518518518,18,39.849426,-86.258278,POINT (-86.258278 39.849426)
22,iowa,2022,annual,57,73.33333333,58.77132771,659,957,348,96.49122807,98.48254932,-311,6.105263157894737,19,42.011539,-93.210526,POINT (-93.210526 42.011539)
23,iowa,2022,annual,55,73.4059098,58.32582227,649,944,342,100.0,100.0,-307,6.218181818181818,19,42.011539,-93.210526,POINT (-93.210526 42.011539)
24,kansas,2022,annual,27,35.85746102,40.57532929,294,161,288,92.59259259,97.61904762,-6,10.666666666666666,20,38.5266,-96.726486,POINT (-96.726486 38.5266)
25,kansas,2022,annual,25,35.73085847,40.8880223,287,154,277,100.0,100.0,-10,11.08,20,38.5266,-96.726486,POINT (-96.726486 38.5266)
26,kentucky,2022,annual,47,59.67399008,46.2678738,657,842,569,95.74468085,97.56468798,-88,12.106382978723405,21,37.66814,-84.670067,POINT (-84.670067 37.66814)
27,kentucky,2022,annual,45,60.1297765,46.65755708,641,834,553,100.0,100.0,-88,12.28888888888889,21,37.66814,-84.670067,POINT (-84.670067 37.66814)
28,maine,2022,annual,34,59.87654321,49.62367449,259,291,195,100.0,100.0,-64,5.735294117647059,23,44.693947,-69.381927,POINT (-69.381927 44.693947)
29,maryland,2022,annual,118,48.92857143,47.32249357,1302,1096,1144,92.37288136,42.47311828,-158,9.694915254237289,24,39.063946,-76.802101,POINT (-76.802101 39.063946)
30,maryland,2022,annual,109,43.03030303,47.302352,553,426,564,100.0,100.0,11,5.174311926605505,24,39.063946,-76.802101,POINT (-76.802101 39.063946)
31,massachusetts,2022,annual,100,58.46518987,55.94736291,898,739,525,100.0,100.0,-373,5.25,25,42.230171,-71.530106,POINT (-71.530106 42.230171)
32,michigan,2022,annual,156,60.94326568,62.3749939,5556,10570,6774,97.43589744,14.86681066,1218,43.42307692307692,26,43.326618,-84.536095,POINT (-84.536095 43.326618)
33,michigan,2022,annual,152,59.35294118,62.85193645,826,1009,691,100.0,100.0,-135,4.546052631578948,26,43.326618,-84.536095,POINT (-84.536095 43.326618)
34,minnesota,2022,annual,76,58.26518936,76.1669729,13117,20877,14954,89.47368421,3.750857666,1837,196.76315789473685,27,45.694454,-93.900192,POINT (-93.900192 45.694454)
35,minnesota,2022,annual,68,75.96059113,79.16911503,492,771,244,100.0,100.0,-248,3.588235294117647,27,45.694454,-93.900192,POINT (-93.900192 45.694454)
36,missouri,2022,annual,62,35.93004769,34.85334728,379,226,403,93.5483871,92.87598945,24,6.5,29,38.456085,-92.288368,POINT (-92.288368 38.456085)
37,missouri,2022,annual,58,35.88850174,34.58802874,352,206,368,100.0,100.0,16,6.344827586206897,29,38.456085,-92.288368,POINT (-92.288368 38.456085)
38,montana,2022,annual,19,22.99767516,61.49250933,16020,5045,16892,78.94736842,0.343320849,872,889.0526315789474,30,46.921925,-110.454353,POINT (-110.454353 46.921925)
39,montana,2022,annual,15,68.47826087,73.08537759,55,63,29,100.0,100.0,-26,1.9333333333333333,30,46.921925,-110.454353,POINT (-110.454353 46.921925)
40,nebraska,2022,annual,34,54.24341338,56.23469844,6395,9306,7850,91.17647059,29.53870211,1455,230.88235294117646,31,41.12537,-98.268082,POINT (-98.268082 41.12537)
41,nebraska,2022,annual,31,68.30437388,57.31501278,1889,5700,2645,100.0,100.0,756,85.3225806451613,31,41.12537,-98.268082,POINT (-98.268082 41.12537)
42,new_hampshire,2022,annual,31,84.82932996,48.03704343,334,671,120,96.77419355,37.1257485,-214,3.870967741935484,33,43.452492,-71.563896,POINT (-71.563896 43.452492)
43,new_hampshire,2022,annual,30,51.05485232,46.32901226,124,121,116,100.0,100.0,-8,3.8666666666666667,33,43.452492,-71.563896,POINT (-71.563896 43.452492)
44,new_jersey,2022,annual,50,47.61120264,48.38930106,337,289,318,100.0,100.0,-19,6.36,34,40.298904,-74.521011,POINT (-74.521011 40.298904)
45,new_mexico,2022,annual,13,31.95876289,36.18931973,61,31,66,92.30769231,72.13114754,5,5.076923076923077,35,34.840515,-106.248482,POINT (-106.248482 34.840515)
46,new_mexico,2022,annual,12,32.5,36.75411598,44,26,54,100.0,100.0,10,4.5,35,34.840515,-106.248482,POINT (-106.248482 34.840515)
47,new_york,2022,annual,67,45.42586751,47.30705943,343,288,346,100.0,100.0,3,5.164179104477612,36,42.165726,-74.948051,POINT (-74.948051 42.165726)
48,north_carolina,2022,annual,103,37.5464684,42.43725511,1708,909,1512,100.0,100.0,-196,14.679611650485437,37,35.630066,-79.806419,POINT (-79.806419 35.630066)
49,north_dakota,2022,annual,12,37.02921223,34.77339985,97712,59767,101638,8.333333333,0.020468315,3926,8469.833333333334,38,47.528912,-99.784012,POINT (-99.784012 47.528912)
50,north_dakota,2022,annual,11,37.03712887,36.11643619,97692,59752,101578,0.0,0.0,3886,9234.363636363636,38,47.528912,-99.784012,POINT (-99.784012 47.528912)
51,ohio,2022,annual,140,56.62319835,53.89922191,761,825,632,98.57142857,98.94875164,-129,4.514285714285714,39,40.388783,-82.764915,POINT (-82.764915 40.388783)
52,ohio,2022,annual,138,56.61815662,53.83495942,753,817,626,100.0,100.0,-127,4.536231884057971,39,40.388783,-82.764915,POINT (-82.764915 40.388783)
53,oklahoma,2022,annual,18,50.2617801,49.48996265,133,96,95,100.0,100.0,-38,5.277777777777778,40,35.565342,-96.928917,POINT (-96.928917 35.565342)
54,oregon,2022,annual,100,35.75336338,53.8112161,17736,10391,18672,95.0,33.86332882,936,186.72,41,44.572021,-122.070938,POINT (-122.070938 44.572021)
55,oregon,2022,annual,95,53.05446422,55.11006438,6006,6887,6094,100.0,100.0,88,64.14736842105263,41,44.572021,-122.070938,POINT (-122.070938 44.572021)
56,pennsylvania,2022,annual,256,56.09337453,53.63768485,1595,1634,1279,98.046875,96.11285266,-316,4.99609375,42,40.590752,-77.209755,POINT (-77.209755 40.590752)
57,pennsylvania,2022,annual,251,56.06060606,53.38908861,1533,1591,1247,100.0,100.0,-286,4.968127490039841,42,40.590752,-77.209755,POINT (-77.209755 40.590752)
58,rhode_island,2022,annual,15,54.22535211,57.52332852,75,77,65,100.0,100.0,-10,4.333333333333333,44,41.680893,-71.51178,POINT (-71.51178 41.680893)
59,south_carolina,2022,annual,35,54.75638051,48.363928,253,236,195,100.0,100.0,-58,5.571428571428571,45,33.856892,-80.945007,POINT (-80.945007 33.856892)
60,south_dakota,2022,annual,12,43.36770158,42.38711376,24338,14974,19554,83.33333333,0.15613444,-4784,1629.5,46,44.299782,-99.438828,POINT (-99.438828 44.299782)
61,tennessee,2022,annual,56,52.44519393,50.46273541,335,311,282,94.64285714,90.14925373,-53,5.035714285714286,47,35.747845,-86.692345,POINT (-86.692345 35.747845)
62,tennessee,2022,annual,53,54.72727273,52.27266034,302,301,249,100.0,100.0,-53,4.69811320754717,47,35.747845,-86.692345,POINT (-86.692345 35.747845)
63,texas,2022,annual,73,33.90281463,33.31374768,79796,44471,86701,76.71232877,1.812120908,6905,1187.6849315068494,48,31.054487,-97.563461,POINT (-97.563461 31.054487)
64,texas,2022,annual,17,33.61962619,36.6453014,78350,43332,85557,0.0,0.0,7207,5032.764705882353,48,31.054487,-97.563461,POINT (-97.563461 31.054487)
65,texas,2022,annual,56,49.89049496,32.30238316,1446,1139,1144,100.0,100.0,-302,20.428571428571427,48,31.054487,-97.563461,POINT (-97.563461 31.054487)
66,utah,2022,annual,44,61.86107471,51.11284147,257,472,291,97.72727273,97.66536965,34,6.613636363636363,49,40.150032,-111.862434,POINT (-111.862434 40.150032)
67,utah,2022,annual,43,62.18375499,51.33251996,251,467,284,100.0,100.0,33,6.604651162790698,49,40.150032,-111.862434,POINT (-111.862434 40.150032)
68,vermont,2022,annual,19,71.28712871,61.87772179,805,1224,493,94.73684211,73.91304348,-312,25.94736842105263,50,44.045876,-72.710686,POINT (-72.710686 44.045876)
69,vermont,2022,annual,18,57.95356836,59.79992976,595,674,489,100.0,100.0,-106,27.166666666666668,50,44.045876,-72.710686,POINT (-72.710686 44.045876)
70,virginia,2022,annual,227,50.18004115,51.63608356,2560,1951,1937,97.79735683,73.8671875,-623,8.533039647577093,51,37.769337,-78.169968,POINT (-78.169968 37.769337)
71,virginia,2022,annual,222,48.54469854,51.63492436,1891,1401,1485,100.0,100.0,-406,6.6891891891891895,51,37.769337,-78.169968,POINT (-78.169968 37.769337)
72,washington,2022,annual,68,39.98939572,60.69466589,40285,24889,37350,91.17647059,0.888668239,-2935,549.2647058823529,53,47.400902,-121.490494,POINT (-121.490494 47.400902)
73,washington,2022,annual,62,56.67613636,62.49752425,358,399,305,100.0,100.0,-53,4.919354838709677,53,47.400902,-121.490494,POINT (-121.490494 47.400902)
74,west_virginia,2022,annual,24,60.13468013,61.93499662,912,893,592,91.66666667,30.04385965,-320,24.666666666666668,54,38.491226,-80.954453,POINT (-80.954453 38.491226)
75,west_virginia,2022,annual,22,68.08510638,61.0130851,274,352,165,100.0,100.0,-109,7.5,54,38.491226,-80.954453,POINT (-80.954453 38.491226)
76,wisconsin,2022,annual,90,58.85322755,69.34048411,9601,13056,9128,91.11111111,6.915946256,-473,101.42222222222222,55,44.268543,-89.616508,POINT (-89.616508 44.268543)
77,wisconsin,2022,annual,82,70.94932191,70.24908717,664,994,407,100.0,100.0,-257,4.963414634146342,55,44.268543,-89.616508,POINT (-89.616508 44.268543)
78,alabama,2021,annual,48,47.49744637,51.38264056,644,465,514,100.0,100.0,-130,10.708333333333334,1,32.806671,-86.79113,POINT (-86.79113 32.806671)
79,arkansas,2021,annual,19,64.19213974,50.57459124,216,294,164,94.73684211,91.66666667,-52,8.631578947368421,5,34.969704,-92.373123,POINT (-92.373123 34.969704)
80,arkansas,2021,annual,18,63.23185012,49.08321548,198,270,157,100.0,100.0,-41,8.722222222222221,5,34.969704,-92.373123,POINT (-92.373123 34.969704)
81,california,2021,annual,100,42.3171033,46.60175303,81900,53094,72373,68.0,14.92796093,-9527,723.73,6,36.116203,-119.681564,POINT (-119.681564 36.116203)
82,california,2021,annual,32,45.55215322,41.21594895,69674,46711,55833,0.0,0.0,-13841,1744.78125,6,36.116203,-119.681564,POINT (-119.681564 36.116203)
83,california,2021,annual,68,27.84539545,49.13624907,12226,6383,16540,100.0,100.0,4314,243.23529411764707,6,36.116203,-119.681564,POINT (-119.681564 36.116203)
84,colorado,2021,annual,50,62.04217536,57.02996994,540,559,342,94.0,37.77777778,-198,6.84,8,39.059811,-105.311104,POINT (-105.311104 39.059811)
85,colorado,2021,annual,47,57.22891566,57.41097662,204,190,142,100.0,100.0,-62,3.021276595744681,8,39.059811,-105.311104,POINT (-105.311104 39.059811)
86,connecticut,2021,annual,45,70.05988024,65.56866282,170,234,100,95.55555556,95.88235294,-70,2.2222222222222223,9,41.597782,-72.755371,POINT (-72.755371 41.597782)
87,connecticut,2021,annual,43,69.1588785,64.25790295,163,222,99,100.0,100.0,-64,2.302325581395349,9,41.597782,-72.755371,POINT (-72.755371 41.597782)
88,delaware,2021,annual,12,56.86591276,53.79070881,710,704,534,91.66666667,4.929577465,-176,44.5,10,39.318523,-75.507141,POINT (-75.507141 39.318523)
89,delaware,2021,annual,11,52.56410256,53.48484848,35,41,37,100.0,100.0,2,3.3636363636363638,10,39.318523,-75.507141,POINT (-75.507141 39.318523)
90,florida,2021,annual,145,76.94590344,34.00011128,11403,25930,7769,94.48275862,68.78014558,-3634,53.57931034482758,12,27.766279,-81.686783,POINT (-81.686783 27.766279)
91,florida,2021,annual,137,84.91404066,33.85516986,7843,22177,3940,100.0,100.0,-3903,28.759124087591243,12,27.766279,-81.686783,POINT (-81.686783 27.766279)
